"Date","Video Views","Profile Views","Likes","Comments","Shares"
"14 de agosto","0","0","0","0","0"
"15 de agosto","0","0","0","0","0"
"16 de agosto","0","0","0","0","0"
"17 de agosto","0","0","0","0","0"
"18 de agosto","0","0","0","0","0"
"19 de agosto","0","0","0","0","0"
"20 de agosto","0","0","0","0","0"
"21 de agosto","0","0","0","0","0"
"22 de agosto","0","0","0","0","0"
"23 de agosto","0","0","0","0","0"
"24 de agosto","0","0","0","0","0"
"25 de agosto","0","0","0","0","0"
"26 de agosto","0","0","0","0","0"
"27 de agosto","0","0","0","0","0"
"28 de agosto","0","0","0","0","0"
"29 de agosto","0","0","0","0","0"
"30 de agosto","23","0","0","0","1"
"31 de agosto","8","0","0","0","0"
"1 de septiembre","295","0","2","0","0"
"2 de septiembre","1574","7","17","0","0"
"3 de septiembre","550","2","0","0","0"
"4 de septiembre","13","0","0","0","0"
"5 de septiembre","543","2","1","0","0"
"6 de septiembre","2439","5","137","0","1"
"7 de septiembre","2120","3","102","0","1"
"8 de septiembre","257","2","3","0","0"
"9 de septiembre","8","0","0","0","0"
"10 de septiembre","3","0","0","0","0"
